# qps p50 p99 tcc-p50 tcc-p99 opt-p50 opt-p99
600 8.3 11.8 9.0 11.3 8.6 11.4
900 7.4 11.5 8.7 11.9 7.6 10.7
1200 7.1 12.1 8.7 13.4 7.1 11
1500 6.7 12.1 9.1 15.5 7.2 33.3
1800 6.9 14.2 9.6 18.7 100 333.2
2100 7.2 17.5 10.8 29.0 
2400 7.8 26.6 44.6 323.2
2700 8.6 33.8
3000 10.7 59.3
3300 51.6 197
