# qps cpu mem cpu-tcc mem-tcc con-cpu con-mem opt-cpu opt-mem
1000 42 54.4 53.3 57.4 98.3 69.3 54.4 64.6
1500 50.4 59 72.8 61.2 114 67.3 70.2 63.1
2000 72.9 62.6 81.8 64.4 124.6 68.5 76 63 
2500 72 65.4 83.8 67.5 134 69 82 64
3000 76.2 67.8 84.0 70.0 145 63 90.6 64
3500 82.3 70.2 87.4 72.8 153.1 70 104.2 65
4000 91.7 75.4 91.9 79.4
4500 93.6 99.4 93.1 100.1
5000 93.9 114.1
5500 95.4 132.7
6000 94.9 138.5
